species,red_list_url
Anotomys leander,https://www.iucnredlist.org/species/1564/22391789
Anoura cultrata,https://www.iucnredlist.org/species/1566/22107379
Anoura latidens,https://www.iucnredlist.org/species/1568/22106814
Anoura luismanueli,https://www.iucnredlist.org/species/1569/22105320
Antechinomys laniger,https://www.iucnredlist.org/species/1581/21943713
Antechinus godmani,https://www.iucnredlist.org/species/1583/21945986
Antechinus leo,https://www.iucnredlist.org/species/1584/21946093
Murexia naso,https://www.iucnredlist.org/species/1587/21942936
Murexia habbema,https://www.iucnredlist.org/species/1589/21943099
Antechinus agilis,https://www.iucnredlist.org/species/1590/21946586
Murexia melanurus,https://www.iucnredlist.org/species/1591/21943184
Choranthias salmopunctatus,https://www.iucnredlist.org/species/1615/44876342
Anthicus sacramento,https://www.iucnredlist.org/species/1617/21423573
Anthops ornatus,https://www.iucnredlist.org/species/1620/22103184
Antidorcas marsupialis,https://www.iucnredlist.org/species/1676/115056763
Antilocapra americana,https://www.iucnredlist.org/species/1677/115056938
Antilocapra americana ssp. peninsularis,https://www.iucnredlist.org/species/1679/200726719
Antilope cervicapra,https://www.iucnredlist.org/species/1681/50181949
Antipodochlora braueri,https://www.iucnredlist.org/species/1781/83378420
Antiponemertes allisonae,https://www.iucnredlist.org/species/1783/21426427
Bauerus dubiaquercus,https://www.iucnredlist.org/species/1789/22129523
Antrozous pallidus,https://www.iucnredlist.org/species/1790/22129152
Aonyx capensis,https://www.iucnredlist.org/species/1793/164575819
Aonyx congicus,https://www.iucnredlist.org/species/1794/164576337
Aotus miconax,https://www.iucnredlist.org/species/1802/164046186
Aotus griseimembra,https://www.iucnredlist.org/species/1807/190452803
Aotus lemurinus,https://www.iucnredlist.org/species/1808/17922601
Anatolichthys anatoliae,https://www.iucnredlist.org/species/1843/19005979
Apricaphanius iberus,https://www.iucnredlist.org/species/1846/8299534
Aphanius fasciatus,https://www.iucnredlist.org/species/1847/8316811
Anatolichthys splendens,https://www.iucnredlist.org/species/1848/19006085
Anatolichthys sureyanus,https://www.iucnredlist.org/species/1849/19006107
Anatolichthys transgrediens,https://www.iucnredlist.org/species/1850/19006201
Aplochiton marinus,https://www.iucnredlist.org/species/1866/176549381
Aplodontia rufa,https://www.iucnredlist.org/species/1869/115057269
Apodemus agrarius,https://www.iucnredlist.org/species/1888/115057408
Apodemus chevrieri,https://www.iucnredlist.org/species/1890/115057724
Apodemus draco,https://www.iucnredlist.org/species/1891/115057886
Apodemus flavicollis,https://www.iucnredlist.org/species/1892/197269879
Apodemus gurkha,https://www.iucnredlist.org/species/1894/22423086
Apodemus hyrcanicus,https://www.iucnredlist.org/species/1896/115058351
Apodemus latronum,https://www.iucnredlist.org/species/1897/115058482
Apodemus mystacinus,https://www.iucnredlist.org/species/1898/197270494
Apodemus peninsulae,https://www.iucnredlist.org/species/1899/115058828
Apodemus ponticus,https://www.iucnredlist.org/species/1900/115058971
Apodemus rusiges,https://www.iucnredlist.org/species/1901/22424321
Apodemus semotus,https://www.iucnredlist.org/species/1902/22424228
Apodemus speciosus,https://www.iucnredlist.org/species/1903/22424142
Apodemus sylvaticus,https://www.iucnredlist.org/species/1904/197270811
Apodemus uralensis,https://www.iucnredlist.org/species/1905/115059444
Apodemus pallipes,https://www.iucnredlist.org/species/1906/184097890
Apodemus alpicola,https://www.iucnredlist.org/species/1907/1956366
Apomys datae,https://www.iucnredlist.org/species/1910/22431732
Apomys hylocetes,https://www.iucnredlist.org/species/1911/22431549
Apomys insignis,https://www.iucnredlist.org/species/1912/115059914
Apomys littoralis,https://www.iucnredlist.org/species/1913/115060045
Apomys microdon,https://www.iucnredlist.org/species/1914/22432223
Apomys musculus,https://www.iucnredlist.org/species/1915/22431898
Apomys sacobianus,https://www.iucnredlist.org/species/1916/22431969
Apomys gracilirostris,https://www.iucnredlist.org/species/1917/115060168
Aprasia aurita,https://www.iucnredlist.org/species/1920/79026130
Aprasia pseudopulchella,https://www.iucnredlist.org/species/1921/101742775
Aproteles bulmerae,https://www.iucnredlist.org/species/1933/209536462
Apteromantis aptera,https://www.iucnredlist.org/species/1935/21426204
Arborimus albipes,https://www.iucnredlist.org/species/2017/22389204
Arborimus pomo,https://www.iucnredlist.org/species/2018/22389273
Archachatina bicarinata,https://www.iucnredlist.org/species/2039/160300790
Archboldomys luzonensis,https://www.iucnredlist.org/species/2045/22450039
Arctocebus aureus,https://www.iucnredlist.org/species/2053/17969875
Arctocebus calabarensis,https://www.iucnredlist.org/species/2054/17969996
Arctocephalus australis,https://www.iucnredlist.org/species/2055/45223529
Arctocephalus galapagoensis,https://www.iucnredlist.org/species/2057/45223722
Arctocephalus gazella,https://www.iucnredlist.org/species/2058/66993062
Arctocephalus philippii,https://www.iucnredlist.org/species/2059/61953525
Arctocephalus pusillus,https://www.iucnredlist.org/species/2060/45224212
Arctocephalus townsendi,https://www.iucnredlist.org/species/2061/45224420
Arctocephalus tropicalis,https://www.iucnredlist.org/species/2062/45224547
Ardops nichollsi,https://www.iucnredlist.org/species/2089/21994786
Heraultiella exilis,https://www.iucnredlist.org/species/2092/9236035
Argonemertes hillii,https://www.iucnredlist.org/species/2097/21426503
Argonemertes stocki,https://www.iucnredlist.org/species/2098/21426462
Trimenia malagrida ssp. cedrusmontana,https://www.iucnredlist.org/species/2103/180619609
Arion obesoductus,https://www.iucnredlist.org/species/2107/1325088
Arion simrothi,https://www.iucnredlist.org/species/2109/125235738
Ariteus flavescens,https://www.iucnredlist.org/species/2110/21992222
Neoarius taylori,https://www.iucnredlist.org/species/2111/2774461
Arius madagascariensis,https://www.iucnredlist.org/species/2113/2774607
Arcidens wheeleri,https://www.iucnredlist.org/species/2114/9250119
Arthroleptides dutoiti,https://www.iucnredlist.org/species/2119/13322361
Artibeus amplus,https://www.iucnredlist.org/species/2121/22000620
Dermanura anderseni,https://www.iucnredlist.org/species/2122/22000743
Dermanura azteca,https://www.iucnredlist.org/species/2123/22000362
Dermanura cinerea,https://www.iucnredlist.org/species/2124/22000480
Artibeus concolor,https://www.iucnredlist.org/species/2125/21999726
Artibeus fimbriatus,https://www.iucnredlist.org/species/2126/21999829
Artibeus fraterculus,https://www.iucnredlist.org/species/2127/21998872
Dermanura gnoma,https://www.iucnredlist.org/species/2129/97207684
Enchisthenes hartii,https://www.iucnredlist.org/species/2130/21996891
Artibeus hirsutus,https://www.iucnredlist.org/species/2131/21996678
Artibeus inopinatus,https://www.iucnredlist.org/species/2132/21996586
Artibeus lituratus,https://www.iucnredlist.org/species/2136/21995720
Artibeus obscurus,https://www.iucnredlist.org/species/2137/21998064
Artibeus planirostris,https://www.iucnredlist.org/species/2139/21997607
Dermanura tolteca,https://www.iucnredlist.org/species/2140/21997479
Arvicanthis abyssinicus,https://www.iucnredlist.org/species/2144/22460675
Arvicanthis blicki,https://www.iucnredlist.org/species/2145/115060298
Arvicanthis nairobae,https://www.iucnredlist.org/species/2146/22460610
Arvicanthis niloticus,https://www.iucnredlist.org/species/2147/115060432
Arvicanthis neumanni,https://www.iucnredlist.org/species/2148/115060686
